test_number,position,source_position,question_id,question,answer_1,answer_2,answer_3,correct_option,correct_answer,answer_key_status,answer_key_note,image_local,image_url
1,1,1,951,Per quins senyals substituirem els senyals acústics durant la nit?,Per l'enllumenat ordinari.,Per senyals amb el braç.,Per l'alternança dels llums d'encreuament i de carretera.,3,Per l'alternança dels llums d'encreuament i de carretera.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,2,2,953,"Per utilitzar els comandaments de forma convenient, hem de poder hi arribar-hi facilment i amb comoditat, amb aquest propòsit, hem de...",Regular els pedals i els indicadors.,"Regular el seient, el respatller i si és possible el volant.",Portar el vehicle al concessionari per que un especialista adapti els comandaments al seu criteri.,2,"Regular el seient, el respatller i si és possible el volant.",present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,3,3,934,Que significa aquest senyal?,Fí de limitaciò de velocitat.,Velocitat mínima obligatòria.,Velocitat màxima obligatòria.,3,Velocitat màxima obligatòria.,present,,images/dc5bc5023f09_1-934.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/1-934.jpg
1,4,4,933,Que significa aquest senyal?,Circulaciò prohibida.,Direcciò prohibida.,Parada a la intersecciò.,3,Parada a la intersecciò.,present,,images/b61ad503e794_1-933.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/1-933.jpg
1,5,5,931,Com se senyalitzarà un automòbil estacionat en una vía insuficientment il.luminada i fora d'una zona d'aparcament?,Amb l'enllumenat ordinari i dispositius reflectors.,Amb quatre llums de color groc auto.,Amb dos dispositius reflectors triangulars.,1,Amb l'enllumenat ordinari i dispositius reflectors.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,6,6,941,Que hem de comprovar abans d'efectuar un canvi de direcciò?,Que no és trobi cap vehicle a menys de 500m.,Que la velocitat i la distància dels vehicles que s'aproximen en ambdòs sentits ho permetin.,Que el vehicle que va darrere no estigui a menys de 200m.,2,Que la velocitat i la distància dels vehicles que s'aproximen en ambdòs sentits ho permetin.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,7,7,945,Que indica aquets senyal?,Pes total del vehicle limitat.,Pes limitat per eix.,Longitud total del vehicle limitada.,3,Longitud total del vehicle limitada.,present,,images/b350d9481fa0_1-945.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/1-945.jpg
1,8,8,956,Que significa aquest senyal?,Via per automòbils.,Calçada obligatòria per automòbils.,Via aconsellable per automòbils.,1,Via per automòbils.,present,,images/bfdaa9ef069b_1-956.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/1-956.jpg
1,9,9,940,Que indica aquest senyal?,Circulaciò prohibida als vehicles que transporten materies perilloses.,Pas prohibit.,Circulaciò prohibida als vehicles que transporten productes contaminants de l'aigua.,3,Circulaciò prohibida als vehicles que transporten productes contaminants de l'aigua.,present,,images/434f25ccb036_1-940.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/1-940.jpg
1,10,10,948,Que indica aquest semàfor?,Direcciò prohibida.,Prohibiciò temporal de pas.,Via tallada al tránsit permanentment.,2,Prohibiciò temporal de pas.,present,,images/27d1fc8f906f_1-948.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/1-948.jpg
1,11,11,935,Que significa aquest senyal amb la lletra C ?,Direcciò prohibida.,Prioritat a la direcciò contraria.,Prioritat de pas.,2,Prioritat a la direcciò contraria.,present,,images/c2b702dfc783_1-935.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/1-935.jpg
1,12,12,950,Que indica aquest agent de la circulaciò?,Alto solament per als que vinguin per darrere.,Alto solament per als que vinguin de front.,Alto al front i al darrere.,1,Alto solament per als que vinguin per darrere.,present,,images/a2814a319c17_1-950.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/1-950.jpg
1,13,13,928,Hem de circular per la dreta...,En trobar-nos un agent de trànsit.,"Generalment sempre, però especialment quan ens creuem amb un altre vehicle.",En efectuar un gir a la dreta.,2,"Generalment sempre, però especialment quan ens creuem amb un altre vehicle.",present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,14,14,942,"Circulant per una vía pública, hem d'advertir els altres usuaris de la nostra intenciò de parar-nos?",Solament s'han d'advertir les maniobres de canvi de direcciò i la detenciò no ho és.,Sí.,Solament en les vies de doble direcciò i a més de 50 km/h.,2,Sí.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,15,15,919,"Com a norma general, les parades s'efectuaràn...",A la dreta.,A l'esquerra.,Indistintament.,1,A la dreta.,present,,images/7cf080812c16_1-919--00.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/1-919--00.jpg
1,16,16,937,La grip o fins i tot una mala digestiò augmenten els riscos d’un accident?,No.,"Efectivament,ja que en ambdos casos disminueix la nostra capacitat de reacciò.",Potser.,2,"Efectivament,ja que en ambdos casos disminueix la nostra capacitat de reacciò.",present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,17,17,944,Com circularem en un tram llarg de carretera amb baixada de fort desnivell?,Amb una marxa llarga i fent ús intensiu dels frens.,"A una velocitat moderada, fent servir el motor per retenir el vehicle i no abusant dels frens.","Igual que si fos una pujada, ja que avui en dia els automòbils estàn preparats sobradament per afrontar qualsevol desnivell, sigui de la durada que sigui.",2,"A una velocitat moderada, fent servir el motor per retenir el vehicle i no abusant dels frens.",present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,18,18,949,Que significa aquest senyal?,"Perill, proximitat d'un lloc freqüentat per nens",Pas obligatòri per nens.,Pas prohibit per a nens no acompanyats.,1,"Perill, proximitat d'un lloc freqüentat per nens",present,,images/b02d8ae4dcd3_1-949.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/1-949.jpg
1,19,19,925,"L'autoritat pot retirar el nostre vehicle de la vía pública, si l'hem deixat abandonat durant un periode superior a...",Tres dies,Quinze dies,Trenta-un dies,2,Quinze dies,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,20,20,926,"Com a norma general, els avançaments s'efectuaràn...","Per la dreta del vehicle, al qual volem avançar.","Per l'esquerra del vehicle, al qual volem avançar.",Amb lentitud.,2,"Per l'esquerra del vehicle, al qual volem avançar.",present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,21,21,952,A que és deu la major gravetat dels accidents en les vies interurbanes?,A l'amplada de la carretera.,Fonamentalment a la velocitat.,A que circulem sempre per sobre de 90 km/h.,2,Fonamentalment a la velocitat.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,22,22,923,"On trobem el senyal de perill per nens, caldrà que:",Extremar la precauciò.,Parem,"Continuem sense fer-ne gaire cas, ja que sòn ells els qui han de vigilar.",1,Extremar la precauciò.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,23,23,929,L'evacuaciò de ferits d'un accident en vehicles particulars és molt perillosa per tant...,No ha de fer-se mai per què podem tenir responsabilitats.,Com és perillosa l'hem de fer el més ràpid possible.,Solament ha de fer-se quan realment no existeixi un altra alternativa.,3,Solament ha de fer-se quan realment no existeixi un altra alternativa.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,24,24,920,"Quines precaucions, entre altres, haurem d'adoptar abans d'iniciar un avançament?",Comprovar que no circula cap vehicle al darrere a menys de 300 metres.,Encendre l'intermitent de la dreta.,"Comprovar que no existeixen corbes, canvis de rasant, boira o altres circumstàncies que impedeixin tenir la visibilitat suficient.",3,"Comprovar que no existeixen corbes, canvis de rasant, boira o altres circumstàncies que impedeixin tenir la visibilitat suficient.",present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,25,25,932,És correcte que un vehicle turisme porti algun llum blanc a la part del darrere?,"No, solament pot portar-la a la part devantera.","No, solament pot ser groc selectiu.","Si, per anunciar la maniobra de marxa enrere.",3,"Si, per anunciar la maniobra de marxa enrere.",present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,26,26,947,"Abans de fer un moviment que pugui sorprendre els altres usuaris, de que ens hem d'assegurar?",De treure el braç per la finestra.,"Que puguem fer-lo sense perill, efectuant la senyalitzaciò corresponent amb antelaciò suficient.",Que no hi hagi un senyal informatiu que ho prohibeixi.,2,"Que puguem fer-lo sense perill, efectuant la senyalitzaciò corresponent amb antelaciò suficient.",present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,27,27,1158,Que significa aquest senyal amb la lletra C?,Pas a nivell sense barreres.,Via barrada,Pas a nivell amb barreres.,3,Pas a nivell amb barreres.,present,,images/0a003a816460_1-1158.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/1-1158.jpg
1,28,28,936,Amb que ha de completar-se la senyalitzaciò de posiciò en la part de darrere dels vehicles automòbils?,"Amb dos dispositius triangulars, visibles a 100m en temps clar, han de ser reflectors.",No és obligatòri.,"Amb dos dispositius reflectants vermells, no triangulars, visibles de nit a 100m. Un a les motocicletes i dos en la resta de vehicles.",3,"Amb dos dispositius reflectants vermells, no triangulars, visibles de nit a 100m. Un a les motocicletes i dos en la resta de vehicles.",present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,29,30,955,Les línies discontinues poden ser sobrepassades?,Quan volguem sempre que circulem a més de 30 km/h.,"Per realitzar maniobres com les d'avançament, canvi de direcciò o de canvi de sentit.",Sols per efectuar avançaments.,2,"Per realitzar maniobres com les d'avançament, canvi de direcciò o de canvi de sentit.",present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,30,31,918,Què significa aquest senyal?,Circulaciò prohibida a camions.,Calçada obligatòria per a camions.,Prohibit passar furgonetes.,2,Calçada obligatòria per a camions.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,31,32,921,"Podem dir que conduir bé és, en primer lloc?",Comportar-nos de tal manera que rés del que poguem fer no pugui sorprendre els altres.,"Anar a poc a poc, per si cal, anar molt de pressa.",Poder conduir bé a grans velocitats.,1,Comportar-nos de tal manera que rés del que poguem fer no pugui sorprendre els altres.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,32,33,922,Pot influir negativament una baixa dosi d'alcohol quan és condueix?,Si.,No.,Solament si ingereix begudes de més de 30 graus.,1,Si.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,33,34,930,"Que ens pot passar en sortir d'un tram de carretera protegit, quan hi ha fort vent lateral?","Rés, si subjectem amb força el volant i premem a fons l'accelerador.",Que l'efecte del vent modifiqui la trajectòria.,Que s'obri la finestra.,2,Que l'efecte del vent modifiqui la trajectòria.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
